"Trial","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compatibility","compensation","contingency","contingent_action","coordinates","correct_response","count_B_video","count_B_video_1","count_Baseline","count_Baseline_1","count_Black_screen","count_Black_screen_1","count_Black_screen_2","count_Bye","count_Fixation","count_Fixation_1","count_Fixation_2","count_Instructions","count_Instructions_1","count_Interblock","count_Interblock_1","count_Pause","count_Pause_1","count_Pause_2","count_T_video","count_T_video_1","count_Test","count_Test_1","count_Trial_1","count_Trial_1_1","count_Trial_2","count_Trial_2_1","count_Welcome","count_experiment","count_log","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","keyreleaseRT","keyresponse","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Bye","response_Instructions","response_Instructions_1","response_Interblock","response_Interblock_1","response_Pause","response_Pause_1","response_Pause_2","response_Welcome","response_time","response_time_Bye","response_time_Instructions","response_time_Instructions_1","response_time_Interblock","response_time_Interblock_1","response_time_Pause","response_time_Pause_1","response_time_Pause_2","response_time_Welcome","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_B_video","time_B_video_1","time_Baseline","time_Baseline_1","time_Black_screen","time_Black_screen_1","time_Black_screen_2","time_Bye","time_Fixation","time_Fixation_1","time_Fixation_2","time_Instructions","time_Instructions_1","time_Interblock","time_Interblock_1","time_Pause","time_Pause_1","time_Pause_2","time_T_video","time_T_video_1","time_Test","time_Test_1","time_Trial_1","time_Trial_1_1","time_Trial_2","time_Trial_2_1","time_Welcome","time_delay_RT","time_experiment","time_log","title","total_correct","total_response_time","total_responses","uniform_coordinates","video","video_duration","width"
"Baseline","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","3","uniform","3","0","NA","0","0","0","NA","NA","0","0","NA","NA","0","0","0","0","0","NA","NA","NA","NA","0","0","0","NA","NA","NA","0","0","0","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2098","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","NA","NA","NA","NA","NA","NA","space","209","NA","209","NA","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","364743","NA","364099","NA","375911","NA","NA","NA","364243","NA","NA","363889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","364229","NA","NA","NA","363311","2035","363280","377411","Nouvelle expérience","0","0","0","yes","2_index.avi","4609","1280"
"Baseline","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","1","uniform","1","1","NA","0","0","1","NA","NA","0","1","NA","NA","0","0","0","0","1","NA","NA","NA","NA","0","0","1","NA","NA","NA","0","0","1","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3499","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","NA","NA","NA","NA","NA","NA","space","209","NA","209","NA","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","378086","NA","364099","NA","384959","NA","NA","NA","377586","NA","NA","363889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","377556","NA","NA","NA","363311","2033","363280","386461","Nouvelle expérience","0","0","0","yes","2_middle.avi","4568","1280"
"Baseline","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","3","uniform","3","2","NA","0","0","2","NA","NA","0","2","NA","NA","0","0","0","0","2","NA","NA","NA","NA","0","0","2","NA","NA","NA","0","0","2","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2039","1","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","NA","NA","NA","NA","NA","NA","space","209","NA","209","NA","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","387129","NA","364099","NA","393527","NA","NA","NA","386628","NA","NA","363889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","386595","NA","NA","NA","363311","2032","363280","395028","Nouvelle expérience","0","0","0","yes","1_middle.avi","4559","1280"
"Baseline","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","1","uniform","1","3","NA","0","0","3","NA","NA","0","3","NA","NA","0","0","0","0","3","NA","NA","NA","NA","0","0","3","NA","NA","NA","0","0","3","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2050","1","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","NA","NA","NA","NA","NA","NA","space","209","NA","209","NA","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","NA","364099","NA","616276","NA","NA","NA","395204","NA","NA","363889","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","NA","NA","NA","363311","2033","363280","617778","Nouvelle expérience","0","0","0","yes","1_index.avi","4564","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","3","uniform","3","3","0","0","0","3","0","NA","0","3","0","NA","0","0","0","0","3","0","NA","NA","NA","0","0","3","0","NA","NA","0","0","4","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2034","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","621416","364099","620780","616276","627638","NA","NA","395204","620916","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","620904","NA","NA","363311","2031","363280","629138","Nouvelle expérience","0","0","0","yes","1_middle.avi","4561","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","1","uniform","1","3","1","0","0","3","1","NA","0","3","1","NA","0","0","0","0","3","1","NA","NA","NA","0","0","3","1","NA","NA","0","0","5","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2037","1","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","629838","364099","620780","616276","637980","NA","NA","395204","629338","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","629298","NA","NA","363311","2032","363280","639480","Nouvelle expérience","0","0","0","yes","1_index.avi","4573","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","1","uniform","1","3","2","0","0","3","2","NA","0","3","2","NA","0","0","0","0","3","2","NA","NA","NA","0","0","3","2","NA","NA","0","0","6","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2039","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","640143","364099","620780","616276","645768","NA","NA","395204","639643","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","639616","NA","NA","363311","2033","363280","647268","Nouvelle expérience","0","0","0","yes","1_index.avi","4561","1280"
"Baseline_1","undefined","1","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","3","uniform","3","3","3","0","0","3","3","NA","0","3","3","NA","0","0","0","0","3","3","NA","NA","NA","0","0","3","3","NA","NA","0","0","7","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3290","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","647932","364099","620780","616276","658252","NA","NA","395204","647432","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","647400","NA","NA","363311","2033","363280","659754","Nouvelle expérience","0","0","0","yes","1_middle.avi","4565","1280"
"Baseline_1","undefined","1","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","1","uniform","1","3","4","0","0","3","4","NA","0","3","4","NA","0","0","0","0","3","4","NA","NA","NA","0","0","3","4","NA","NA","0","0","8","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3136","1","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","660418","364099","620780","616276","666496","NA","NA","395204","659917","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","659888","NA","NA","363311","2031","363280","667998","Nouvelle expérience","0","0","0","yes","1_index.avi","4559","1280"
"Baseline_1","undefined","1","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","1","uniform","1","3","5","0","0","3","5","NA","0","3","5","NA","0","0","0","0","3","5","NA","NA","NA","0","0","3","5","NA","NA","0","0","9","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3091","1","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","668658","364099","620780","616276","674361","NA","NA","395204","668158","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","668132","NA","NA","363311","2031","363280","675861","Nouvelle expérience","0","0","0","yes","1_index.avi","4558","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","1","uniform","1","3","6","0","0","3","6","NA","0","3","6","NA","0","0","0","0","3","6","NA","NA","NA","0","0","3","6","NA","NA","0","0","10","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3094","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","676528","364099","620780","616276","682369","NA","NA","395204","676028","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","676000","NA","NA","363311","2040","363280","683872","Nouvelle expérience","0","0","0","yes","2_middle.avi","4570","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","compatible","0","1","3","uniform","3","3","7","0","0","3","7","NA","0","3","7","NA","0","0","0","0","3","7","NA","NA","NA","0","0","3","7","NA","NA","0","0","11","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3388","1","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","684548","364099","620780","616276","690737","NA","NA","395204","684048","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","684022","NA","NA","363311","2032","363280","692239","Nouvelle expérience","0","0","0","yes","1_middle.avi","4560","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","3","uniform","3","3","8","0","0","3","8","NA","0","3","8","NA","0","0","0","0","3","8","NA","NA","NA","0","0","3","8","NA","NA","0","0","12","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3038","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","692906","364099","620780","616276","698943","NA","NA","395204","692406","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","692377","NA","NA","363311","2036","363280","700444","Nouvelle expérience","0","0","0","yes","2_index.avi","4559","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","3","uniform","3","3","9","0","0","3","9","NA","0","3","9","NA","0","0","0","0","3","9","NA","NA","NA","0","0","3","9","NA","NA","0","0","13","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","2046","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","701108","364099","620780","616276","712231","NA","NA","395204","700608","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","700577","NA","NA","363311","2032","363280","713731","Nouvelle expérience","0","0","0","yes","2_index.avi","4566","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","3","uniform","3","3","10","0","0","3","10","NA","0","3","10","NA","0","0","0","0","3","10","NA","NA","NA","0","0","3","10","NA","NA","0","0","14","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","-65420","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","714397","364099","620780","616276","779699","NA","NA","395204","713897","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","713865","NA","NA","363311","2033","363280","781199","Nouvelle expérience","0","0","0","yes","2_index.avi","4566","1280"
"Baseline_1","undefined","0","undefined","undefined","black","no","legacy","legacy","legacy","incompatible","0","2","1","uniform","1","3","11","0","0","3","11","NA","0","3","11","NA","0","0","0","0","3","11","NA","NA","NA","0","0","3","11","NA","NA","0","0","15","Wed Oct 31 18:51:12 2018","The main experiment item","yes","1MarcellBrass_FollowUp.osexp","/Users/masala/Documents/programming/git/brassJointGoal","no","no","mono","no","18","no","white","no","no","720","legacy","3240","3","/Users/masala/Documents/programming/git/brassJointGoal/subject-0.csv","legacy","Interactive Ising","3.0.7","0","space","NA","space","space","NA","NA","NA","NA","NA","space","2980","NA","209","2980","NA","NA","NA","NA","NA","562","2","legacy","1024","2","48000","-16","experiment","0","even","395704","781872","364099","620780","616276","792801","NA","NA","395204","781372","NA","363889","617798","NA","NA","NA","NA","NA","NA","NA","NA","NA","395177","781333","NA","NA","363311","2031","363280","794301","Nouvelle expérience","0","0","0","yes","2_middle.avi","4557","1280"
